COM;REG;DEP;NCC;NCCENR;LIBELLE
12249;76;12;SAINT SEVER DU MOUSTIER;Saint-Sever-du-Moustier;Saint-Sever-du-Moustier
12250;76;12;SAINT SYMPHORIEN DE THENIERES;Saint-Symphorien-de-Thénières;Saint-Symphorien-de-Thénières
12251;76;12;SAINT VICTOR ET MELVIEU;Saint-Victor-et-Melvieu;Saint-Victor-et-Melvieu
12252;76;12;SALLES COURBATIES;Salles-Courbatiès;Salles-Courbatiès
12253;76;12;SALLES CURAN;Salles-Curan;Salles-Curan
12254;76;12;SALLES LA SOURCE;Salles-la-Source;Salles-la-Source
12255;76;12;SALMIECH;Salmiech;Salmiech
12256;76;12;SALVAGNAC CAJARC;Salvagnac-Cajarc;Salvagnac-Cajarc
12257;76;12;CAUSSE ET DIEGE;Causse-et-Diège;Causse-et-Diège
12258;76;12;SALVETAT PEYRALES;Salvetat-Peyralès;La Salvetat-Peyralès
12259;76;12;SANVENSA;Sanvensa;Sanvensa
12260;76;12;SAUCLIERES;Sauclières;Sauclières
12261;76;12;SAUJAC;Saujac;Saujac
12262;76;12;SAUVETERRE DE ROUERGUE;Sauveterre-de-Rouergue;Sauveterre-de-Rouergue
12263;76;12;SAVIGNAC;Savignac;Savignac
12264;76;12;SEBAZAC CONCOURES;Sébazac-Concourès;Sébazac-Concourès
12265;76;12;SEBRAZAC;Sébrazac;Sébrazac
12266;76;12;SEGUR;Ségur;Ségur
12267;76;12;SELVE;Selve;La Selve
12268;76;12;SENERGUES;Sénergues;Sénergues
12269;76;12;SERRE;Serre;La Serre
12270;76;12;SEVERAC D AVEYRON;Sévérac d'Aveyron;Sévérac d'Aveyron
12270;;;SEVERAC LE CHATEAU;Sévérac-le-Château;Sévérac-le-Château
12271;;;SEVERAC L EGLISE;Sévérac-l'Église;Sévérac-l'Église
12272;76;12;SONNAC;Sonnac;Sonnac
12273;76;12;SOULAGES BONNEVAL;Soulages-Bonneval;Soulages-Bonneval
12274;76;12;SYLVANES;Sylvanès;Sylvanès
12275;76;12;TAURIAC DE CAMARES;Tauriac-de-Camarès;Tauriac-de-Camarès
12276;76;12;TAURIAC DE NAUCELLE;Tauriac-de-Naucelle;Tauriac-de-Naucelle
12277;76;12;TAUSSAC;Taussac;Taussac
12278;76;12;TAYRAC;Tayrac;Tayrac
12280;76;12;THERONDELS;Thérondels;Thérondels
12281;76;12;TOULONJAC;Toulonjac;Toulonjac
12282;76;12;TOURNEMIRE;Tournemire;Tournemire
12283;76;12;TREMOUILLES;Trémouilles;Trémouilles
12284;76;12;TRUEL;Truel;Le Truel
12285;;;VABRE TIZAC;Vabre-Tizac;Vabre-Tizac
12286;76;12;VABRES L ABBAYE;Vabres-l'Abbaye;Vabres-l'Abbaye
12287;76;12;VAILHOURLES;Vailhourles;Vailhourles
12288;76;12;VALADY;Valady;Valady
12289;76;12;VALZERGUES;Valzergues;Valzergues
12290;76;12;VAUREILLES;Vaureilles;Vaureilles
12291;76;12;VERRIERES;Verrières;Verrières
12292;76;12;VERSOLS ET LAPEYRE;Versols-et-Lapeyre;Versols-et-Lapeyre
12293;76;12;VEYREAU;Veyreau;Veyreau
12294;76;12;VEZINS DE LEVEZOU;Vézins-de-Lévézou;Vézins-de-Lévézou
12295;76;12;VIALA DU PAS DE JAUX;Viala-du-Pas-de-Jaux;Viala-du-Pas-de-Jaux
12296;76;12;VIALA DU TARN;Viala-du-Tarn;Viala-du-Tarn
12297;76;12;VIBAL;Vibal;Le Vibal
12298;76;12;VILLECOMTAL;Villecomtal;Villecomtal
